Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,15.600000381469727,15.600000381469727,15.149999618530273,15.149999618530273,15.116981506347656,680
2021-04-05,15.149999618530273,15.399999618530273,14.600000381469727,15.0,14.967308044433594,9550
2021-04-06,15.350000381469727,15.75,14.850000381469727,15.75,15.715673446655273,2301
2021-04-07,15.300000190734863,16.0,15.100000381469727,15.550000190734863,15.516109466552734,2708
2021-04-08,15.949999809265137,16.200000762939453,15.949999809265137,16.0,15.965128898620605,4425
2021-04-09,16.149999618530273,16.799999237060547,16.149999618530273,16.799999237060547,16.763383865356445,8899
2021-04-12,17.200000762939453,17.600000381469727,16.200000762939453,17.100000381469727,17.062732696533203,37457
2021-04-13,17.5,17.899999618530273,17.25,17.399999618530273,17.362077713012695,3033
2021-04-15,17.0,17.799999237060547,16.600000381469727,17.5,17.46185874938965,45163
2021-04-16,17.350000381469727,17.350000381469727,16.700000762939453,16.950000762939453,16.91305923461914,7792
2021-04-19,16.299999237060547,16.75,16.149999618530273,16.75,16.71349334716797,7368
2021-04-20,16.049999237060547,16.850000381469727,16.0,16.75,16.71349334716797,3975
2021-04-22,17.200000762939453,17.299999237060547,16.700000762939453,17.149999618530273,17.11262321472168,18451
2021-04-23,16.600000381469727,17.200000762939453,16.600000381469727,16.899999618530273,16.86316680908203,8880
2021-04-26,16.549999237060547,17.350000381469727,16.399999618530273,16.850000381469727,16.813276290893555,5800
2021-04-27,16.799999237060547,17.399999618530273,16.799999237060547,17.350000381469727,17.31218719482422,1880
2021-04-28,17.0,17.350000381469727,16.5,17.100000381469727,17.062732696533203,9893
2021-04-29,17.25,17.25,16.5,16.700000762939453,16.663602828979492,4032
2021-04-30,16.450000762939453,16.950000762939453,16.149999618530273,16.600000381469727,16.563819885253906,8504
2021-05-03,16.25,16.950000762939453,16.200000762939453,16.799999237060547,16.763383865356445,2545
2021-05-04,16.899999618530273,17.149999618530273,16.549999237060547,16.549999237060547,16.51392936706543,9618
2021-05-05,16.850000381469727,16.950000762939453,16.350000381469727,16.649999618530273,16.613710403442383,4047
2021-05-06,16.950000762939453,16.950000762939453,15.850000381469727,16.549999237060547,16.51392936706543,5494
